id,name,field_scale_npc,field_scale_member,battle_scale_member,battle_scale_enemy,call_effect_scale,collection_offset_y,mission_scale
443,青鬼,1.05,1.05,0.85,2.4,0.84,-0.2,1.05
444,黒鬼,1.05,1.05,0.85,2.4,0.84,-0.2,1.05
445,ジンギスギスカン,1,1,0.81,2,0.9,0,1
446,チンギスギスハン,1,1,0.78,2,0.85,0,1
447,寝ブタ,1,1,1.08,2.2,1,1.5,1
448,ねぶた,1,0.9,0.67,1.5,0.7,0,0.85
449,江戸っ子パンダ,1.1,1.1,0.9,2.2,1,0,1.1
450,大江戸忍者パンダ,1.2,1.2,0.9,2.2,1,0,1.2
451,ひつま武士,1,1,0.63,1.8,0.8,0,1
452,ひまつ武士,1,0.9,0.63,1.5,0.6,0,1
453,たこやっ鬼,1.1,1.1,0.99,2.2,1,0,1.1
454,たこや鬼神,1,0.9,0.5,1.3,0.55,0,0.8
455,砂ン丘入道,1,0.8,0.58,1.3,0.5,1,0.8
456,ノー砂ン丘入道,1,0.8,0.58,1.2,0.5,1,0.8
457,すもうどん,1,1,0.76,1.8,0.7,0,1
458,横綱うどん,1,0.9,0.58,1.3,0.55,0,0.85
459,あっそう山,1,1,0.72,1.7,0.7,0.5,0.9
460,あそっ火山,1,1,0.72,1.7,0.7,0.5,1
461,ウキウキビ,1.1,1.1,0.9,2.2,1,0,0.9
462,トキメキビ,1,1,0.58,1.5,0.7,0,0.75
463,ロボガッパ,1,1,0.99,2,0.98,0,1
464,ロボコマ,1,1,0.99,2.1,1,0,1
465,ロボ[Ｇ/ジー],1,1,0.9,2,0.9,0,1
466,ロボメン犬,1,1,0.99,2.1,1,0,1
467,ロボノコ,1,1,1.08,2,1.1,0,1
468,ロボりゅーくん,1,1,0.99,2.1,1,0,1
469,メロンニャン,1,1,1.17,2.2,1.17,0,1
470,ミカンニャン,1,1,1.17,2.2,1.17,0,1
471,キウイニャン,1,1,1.17,2.2,1.17,0,1
472,ブドウニャン,1,1,1.17,2.2,1.17,0,1
473,イチゴニャン,1,1,1.17,2.2,1.17,0,1
474,スイカニャン,1,1,1.17,2.2,1.17,0,1
475,モモタロニャン,1,1,1.08,2.2,1.2,0,1
476,イヌニャン,1,1,1.08,2.2,1.2,0,1
477,サルニャン,1,1,1.08,2.2,1.2,0,1
478,キジニャン,1,1,1.08,2.2,1.2,0,1
479,Ｂジバニャン,1,1,1.08,2.2,1.2,0,1
480,Ｂコマさん,1,1,1.08,2.1,1,0,1
481,ニャン騎士,1,1,1.08,2.2,1.2,0,1
482,ニャン魔女,1,1,1.08,2.2,1.2,0,1
483,アカマル,1,1,1.1,2.2,1.2,0,1
484,[Ｂ/ビー]‐ＵＳＡピョン,1,1,1,2.2,1,0,1
485,エンペラーモード,1,1,1,2.2,1,0,1
486,エンマ大王,1,1,0.58,1.5,0.7,-0.5,0.85
487,エンマ大王,1,1,0.58,1.5,0.7,-0.5,0.85
488,フウ[２/ツー],1,1,0.75,1.7,0.9,-1,0.9
489,ウラシマニャン,1,1,1.08,2.2,1.2,0,1
490,キンタロニャン,1,1,1.08,2.2,1.2,0,1
491,ブリー元帥,1,0.8,0.46,1.4,0.5,-0.5,0.7
492,鬼ガマ,1,0.95,0.67,1.85,0.7,0,0.95
493,カブキロイド,1,0.85,0.54,1.75,0.55,0,1
494,レッド[Ｊ/ジェイ],1,0.95,0.6,1.85,0.65,0,0.95
495,モズク先生,1,1,0.9,1.9,0.9,0,0.9
496,ガシャどくろ,1,0.85,0.7,1.8,0.7,0,0.85
497,シメッポイーナ,0.87,0.7,0.54,1.15,0.4,1.5,0.7
498,ツチノコ星人,1,1,1.08,2,1.1,0,1
499,マイティードッグ,1,1,0.7,2.15,0.75,0,1.15
500,鬼蜘蛛,1.1,1.1,0.65,1.9,0.8,-1,0.9
501,ぬらりひょん,1,0.9,0.43,1.3,0.5,-1,0.7
502,犬まろ,1,1,0.75,1.55,1,0,1
503,猫きよ,1,1,0.9,1.65,1,0,1
504,コンたん,1,1,0.8,1.9,0.9,0,1
505,アチャー,1,1,0.85,2,1,0,1
506,枕返し,1,1,0.6,1.6,0.75,-0.5,0.8
507,ガチン小僧,1,1,0.9,2.2,1.1,0,1.05
508,ダメジャー,1,1.1,1.2,2.4,1.2,0,1
509,ヤメジャー,1,1.1,1.2,2.4,1.2,0,1
510,一瞬ボーイ,1,1,0.75,1.9,0.8,0,1
511,ひじょうぐち,1,1,0.75,1.7,0.85,0,1
512,ニクヤ鬼,1,0.95,0.65,1.7,0.65,0,0.75
513,コゲヤ鬼,1,0.95,0.65,1.7,0.65,0,1
514,シラ切りスズメ,1,1,0.9,1.8,0.85,-0.5,1
515,スットン卿,1,1,0.7,1.9,0.85,-0.5,0.9
516,カンガエルー,1,1,0.8,2,0.85,0,1
517,ハンゾウ,1,1,0.78,1.8,0.8,0,0.95
518,コタロウ,1,0.95,0.9,1.8,0.8,0,0.95
519,コロンブス,1,1,0.7,1.8,0.75,-0.5,0.8
520,ダメジャナイン,1,1,0.9,1.6,0.85,-1,1
521,総ナメ,1,1,0.76,1.9,0.85,0,0.9
522,天下無僧,1,1,0.67,1.8,0.8,-0.5,0.85
523,なまなまはげ,1,0.8,0.6,1.6,0.6,0,0.75
524,フユニャン曹操,1,1,1.08,2.2,1.2,0,1
525,パッカー,1,1,0.8,1.8,0.9,0,0.9
526,口すべらし,1,1,0.9,2.1,0.9,0,1
527,そらミミズク,1,1,1,2.2,1,0,1
528,ナンデナン,1,1,0.7,1.6,0.7,0,0.8
529,まるナゲット,1,1,0.98,2.1,0.95,0,1
530,ほうりナゲット,1,1,0.98,2.1,0.95,0,1
531,ピントコーン,1,1,1.1,2.3,1,0,1
532,かえってコーン,1,1,1.1,2.3,1,0,1
533,家ーイ,1,0.9,0.6,1.7,0.7,-0.5,0.8
534,レインボーン,1,1,0.9,2.2,0.9,0,1
535,せいでん鬼,1,1.1,0.95,2.3,1,0,1
536,なぞトキ,1,1,0.73,1.8,0.8,0,0.9
537,紙かくし,1,0.95,0.6,1.75,0.75,0,0.8
538,ヒマ神,1,1,0.7,1.6,0.85,-1,0.9
539,オトナカイ,1,1,0.7,1.95,0.9,-0.5,1
540,ぬすっトナカイ,1,1,0.7,1.95,0.9,-0.5,1
541,じごくミミズク,1,1,0.86,1.9,0.9,-1,0.9
542,そーナンだー,1,1,0.7,1.9,0.8,0,1
543,エジソン,1,1,0.65,1.8,0.75,-0.5,0.8
544,酒呑童子,1,0.85,0.58,1.5,0.6,0,0.67
545,バニー・ミント,1,0.9,0.58,1.6,0.6,0,0.75
546,スノーラビィ,1,0.9,0.58,1.6,0.6,0,0.75
547,あまん汁,1,0.95,0.75,1.8,0.8,0,0.9
548,ポン骨,1,1,0.9,1.6,0.85,0,1
549,マイッカー,1,0.8,0.6,1.5,0.55,0,0.75
550,オーバーガー,1,1,0.87,2,0.8,0,0.9
551,オバーカー,1,1,0.87,2,0.8,0,1
552,魔ウンテン,1,0.9,0.6,1.6,0.6,0,0.75
553,あっけら艦,1,1.1,0.9,2,1,0,1.1
554,シングコング,1,0.8,0.5,1.5,0.55,0,0.65
555,カメッパ,1,1,1.25,2.4,1.2,0,1.4
556,おくらいり,1,0.9,0.6,1.6,0.65,0,0.7
557,カクさん,1,1,0.8,2.1,1,0,1
558,リボーン,1,1,0.7,1.7,0.7,0,0.9
559,アンドロイド山田,1.2,1,0.9,2.5,1,0,1
560,怒気ドキ土器,1,1,0.85,2,0.85,0,1
561,ステーキング,1,1,0.82,2,0.85,0,1
562,ポイステーキ,1,1,0.82,2,0.85,0,1
563,ギュウ汁,1,1,0.82,2.1,0.85,0,0.95
564,シレイ艦,1,1,0.6,1.6,0.65,0,0.75
565,スカイシャリマン,1,1,0.6,1.6,0.7,0,0.75
566,ザ・シャーク,1,1,0.6,1.6,0.75,0,0.75
567,エル・シャクレロ,1,1,0.6,1.6,0.75,0,0.75
568,アンビリバ坊,1,1,1,2,1,0,1.1
569,ピヨヒヨコ,1,1,1.15,2.3,1,0,1.2
570,ほっとケーキ,1,1,1.1,2.3,1,0,1.1
571,こてんパン,1,1,0.75,1.8,0.8,0,0.9
572,わかランナー,1,1,0.86,2,0.8,-0.5,1
573,カンペちゃん,1,1,0.98,1.8,1,0,1
574,寝コロンブス,1,1,1.1,2.2,1,0.5,1
575,デモネード,1,1,1.1,2.3,1,0,1.1
576,ナンスカンク,1,1.1,0.9,2.4,1,0,1.1
577,おきラクーン,1,0.95,0.9,2,1,0,0.95
578,おとなブル,1,1,1,2,1,0,1
579,おとめブル,1,1,1,2,1,0,1
580,無茶ぶりっ子,1,1,0.85,1.9,0.9,-0.5,0.9
581,大化ケット,1,1,0.7,1.6,0.7,0,0.8
582,たまのこし,1,1,0.95,2,1,0,1
583,コマさん孫策,1,1,0.99,2.1,1,0,1
584,烏天狗,1,0.95,0.6,1.6,0.65,0,0.75
585,カルラ,1,0.95,0.6,1.6,0.65,0,0.75
586,バッド坊や,1,1,1,2,1,0,1
587,激辛ボーイ,1,1,1,2,1,0,1
588,カマイタチ,1,0.95,0.6,1.6,0.7,0,0.8
589,風呂ずきん,1,1,0.82,1.8,0.8,0,1
590,モ作,1,1,0.9,2.1,0.85,0,1
591,ハーモリー,1,1,0.9,2,1,0,1
592,アフロ１３,1,1,0.7,1.8,0.7,0,0.8
593,てんてこ米,1,1,0.85,1.8,0.8,0,1
594,あしたガール,1,1,0.8,1.8,0.8,0,0.9
595,はなしカミ,1,1,0.8,1.6,0.9,0,1
596,サンデーパパ,1,1,1.2,1.9,0.9,0,1
597,モンデーパパ,1,1,1.2,1.9,0.9,0,1
598,ガッテンマイヤー,1,1,0.72,1.8,0.8,-1,0.85
599,エコロ爺,1,1,0.8,1.6,0.9,0,0.8
600,ハッピィさん,1,1,0.7,1.9,0.8,0,1
601,どっちつかず,1,1,0.9,2.2,1,0,1
602,歯磨貴婦人,1,0.95,0.7,1.7,0.6,0,0.75
603,ふろーラル,1,1,0.9,1.6,0.75,0,0.9
604,いたれりつくせり,1,1,0.9,1.7,0.75,0,0.9
605,ダーウィン,1,0.9,0.58,1.45,0.65,-0.5,0.6
606,スピーディーＷ,1,1,0.78,1.8,0.8,-0.5,1
607,カンフーマッハ,1,1,0.78,1.8,0.8,-0.5,1
608,椿姫,1,1,0.67,1.9,0.8,-1.5,0.85
609,ジバニャン劉備,1,1,1.08,2.2,1.2,0,1
610,つぶや木,1,1,0.85,1.6,0.8,0,1
611,やるせナス,1,1,0.7,1.6,0.7,0,0.9
612,チクリ魔,1,1,1.1,2.2,1,0,1
613,ちらかし家来,1.2,1.2,1.08,2.6,1.2,0,1.2
614,ギーくん,1,1,0.7,1.7,0.7,0,0.8
615,ＵＳＡピョン,1,1,1,2.2,1,0,1
616,ＵＳＡピョン,1,1,1,2.2,1,0,1
617,ＵＳＡピョン,1,1,1,2.2,1,0,1
618,ＵＳＡピョン,1,1,1,2.2,1,0,1
619,ＵＳＡピョン,1,1,1,2.2,1,0,1
620,ＵＳＯピョン,1,1,1,2.2,1,0,1
621,カリカリベーコン,1,1,0.85,1.8,1,0,1
622,じこけん王,1,1,0.9,2.1,0.95,0,1
623,インチキン,1,1,0.7,1.8,0.8,0,1
624,あんのジョー,1,1,0.8,1.8,0.8,0,0.8
625,アイタタタイムズ,1,1,0.7,1.9,0.75,0,1
626,カッパー,1,1,0.73,2,0.85,-0.5,0.9
627,にわカッパー,1,1,0.73,2,0.85,-0.5,1
628,けちらし,1,1,0.85,1.8,0.9,0,1
629,ツリート,1,0.85,0.55,1.6,0.65,0,0.7
630,ダリス,1,1,0.95,1.8,0.95,0,1
631,ゴジダツ爺,1,1,1,2.1,1,0,1
632,ハッキング,1,1,0.75,1.7,0.8,0,0.9
633,ゼロ博士,1,0.95,0.59,1.6,0.75,-1,0.8
634,Ｄｒ．カゲムラ,1,0.95,0.59,1.6,0.75,-1,0.8
635,魔天王,1,0.95,0.64,1.7,0.8,-1.5,0.8
636,イーセンイッテル,1,1,0.8,1.9,0.8,0,1
637,かえりタイ,1,1,0.95,2.2,1,0,1
638,たいこモチ,1,1,0.9,2.1,0.95,0,1
639,やぶレター,1,1.2,1.15,2.2,1.1,0,1.2
640,てのひらがえし,1,1,0.86,1.9,0.9,0,0.95
641,黄ばんドール,1,1,0.95,2.2,1,0,1
642,あそんドール,1,1,0.95,2.2,1,0,1
643,ふあんかん,1,1,0.9,2.1,0.95,-0.5,1
644,たらいまわし,1,1,0.9,1.9,0.85,0,1
645,おひとり様,1,1,0.72,1.6,0.8,-1.5,1
646,テンパるンバ,1,1,0.62,1.7,0.75,0,0.85
647,こしパンダ,1,0.95,0.6,1.55,0.65,0,0.75
648,アンラッキィさん,1,1,0.7,1.9,0.8,-0.5,1
649,カラヤブリ,1,1,0.95,1.7,0.9,0,1
650,ヨッチャ～,1,1,0.9,2,0.83,-1,0.9
651,ごまスリー,1,1,0.66,1.8,0.75,0,0.85
652,決めて魔王,1,1,0.7,1.95,0.8,0,0.9
653,おとろし,1,0.7,0.5,1.25,0.48,1.5,0.7
654,オリジン,1,1,0.55,1.55,0.7,-2,0.9
655,ファントム,1,1,0.55,1.55,0.7,-2,0.9
656,あしでまとい,1,1,1,2.2,1,0,1
657,ダソックス,1,1,0.9,1.9,0.85,0,0.9
658,ダソックサイ,1,1,0.9,1.9,0.85,0,1
659,バンジーきゅうす,1,1,0.76,1.6,0.8,-1,0.8
660,いきあたりバッタ,1,1,0.78,1.6,0.8,0,1
661,マイマイペース,1,1,0.9,2,0.9,0,1
662,オッタマゲーター,1,1,0.8,2.1,0.85,0,0.9
663,ネジマゲーター,1,1,0.8,2.1,0.85,0,1
664,ダイナシー,1,1,0.8,2,0.9,-0.5,1
665,ナンモナイト,1,1,0.9,1.9,1,-1,1
666,カイーギョ,1,1,0.82,1.9,0.85,0,1
667,キリスギリス,1,1,0.8,1.8,0.9,0,1
668,いばる～ん,1,0.7,0.38,1.25,0.45,-0.8,0.5
669,ひっぱりダコ,1,1,0.82,1.8,0.9,-1,0.9
670,アーダコンダ,1,0.95,0.6,1.5,0.7,0,0.75
671,ヒーエコンダ,1,0.95,0.6,1.5,0.6,0,1
672,たこうらみ,1,1,0.8,1.9,0.85,-0.5,1
673,油すまし,1,1,0.85,2,0.85,0,1
674,ポチッ,1,1,1,2.3,1,0.5,1
675,おれリュウ,1,0.9,0.6,1.65,0.6,0,0.8
676,Ｄ‐レックス,1,0.7,0.5,1.6,0.55,0,0.55
677,ドジラ,1,0.7,0.5,1.6,0.55,0,0.55
678,センポクカンポク,1,1,0.8,1.7,0.8,0,0.9
679,乙姫,1,0.9,0.6,1.6,0.65,-0.5,0.8
680,あしゅら,1,1,0.75,1.7,0.78,-0.5,0.85
681,ばたん[Ｑ/キュー],1,1,0.63,1.6,0.67,-0.5,0.8
682,シャッチーバーグ,1,1,1,1.6,1,0,1
683,ヨップル社員,1,1,1,1.6,1,0,1
684,ヨップル社員,1,1,1,1.6,1,0,1
685,ヨップル社研究員,1,1,1,1.6,1,0,1
686,ヨップル社従業員,1,1,1,1.6,1,0,1
687,ヨップル社員,1,1,1,1.6,1,0,1
688,ヨップル社員,1,1,1,1.6,1,0,1
689,ヨップル社研究員,1,1,1,1.6,1,0,1
690,ヨップル社従業員,1,1,1,1.6,1,0,1
691,コアラニャン,1,1,1.08,2.2,1.2,0,1
692,ニャーミネーター,1,1,0.85,2.2,1,0,1.1
693,ＵＳＡピョン仲達,1,1,1,2.2,1,0,1
694,スシジバ,1,1,1.08,2.2,1.2,0,1
695,天コマ,1,1,1,1.6,1,0,1
696,ラストブシニャン,1,1,1.08,2.3,1.2,0,1
697,プラチナ鬼,1,1,0.8,2.05,0.7,0,0.9
698,キラコマ,1,1,0.99,2.1,1,0,1
699,スピーチ姫,1,1,0.7,1.9,0.9,-1,0.9
700,トリベア,1,1,0.81,2.2,0.95,0,1
701,ジェントル面犬,1,1,0.75,1.8,0.85,-1,0.9
702,ブルジョワＧ,1,1,0.6,1.6,0.65,0,0.8
703,自慢ハッタン,1,0.9,0.65,1.7,0.7,-1,0.8
704,トムニャン,1,1,1.08,2.2,1.2,0,1
705,ＫＫブラザーズ,1,1,0.99,2.1,1,0,1
706,ロボニャンＵＳＡ,1,1,1.08,2.6,1.3,0,1
707,メカオロチ,1,1,0.5,1.4,0.67,-1.2,0.75
708,メカキュウビ,1,0.9,0.45,1.15,0.55,-0.5,0.65
709,ハングリーＧ,1,1,0.6,1.6,0.75,0,0.8
710,ブルックりん,1,1,0.72,1.6,0.65,0,1
711,ペラペライオン,1,0.9,0.81,1.9,0.85,0,1
712,カントリーバァバ,1,1,1.08,2.3,1,0.5,1
713,一旦ソーリー,1,1,0.65,1.5,0.67,-1.4,0.8
714,サニーレタスさん,1,1,0.8,1.6,0.95,-0.5,0.9
715,チョコバナーナ,1,1,0.67,1.8,0.7,0,0.9
716,ウォール・ガイ,0.8,0.8,0.58,1.4,0.52,0,0.75
717,モルラ,1,1,0.69,1.7,0.8,-0.8,0.85
718,チョコボニャン,1,1,0.8,2.2,0.9,0,1
719,モーグリニャン,1,1,0.9,2.2,1,-0.5,1
720,ぷにニャン,1,1,1.08,2.2,1.2,0,1
721,ぷにコマ,1,1,1.1,2.1,1,0,1
722,Ｔジバニャン,1,1,1.08,2.2,1.2,0,1
723,Ｔコマさん,1,1,0.99,2.1,1,0,1
724,ミス・テリー,1,1,0.53,1.6,0.7,-0.5,0.75
725,サキちゃん,1,1,0.57,1.6,0.7,0,0.8
726,ジバニャンＫ,1,1,1.08,2.2,1.2,0,1
727,ＵＳＡピョン[Ｑ/クイーン],1,1,1,2.2,1,0,1
728,コマさんＪ,1,1,0.99,2.1,1,0,1
729,コマじゅうろう,1,1,0.99,2.1,1,0,1
730,フユニャンエース,1,1,1.08,2.2,1.2,0,1
731,ウィスババ,1,1.1,0.85,1.8,0.9,-2.5,1
732,弁財天,1.9,1,0.6,1.7,0.7,0,0.7
733,布袋尊,1.9,0.9,0.6,1.6,0.7,0,0.7
734,恵比寿,2.3,1,0.9,1.9,0.9,0,1
735,大黒天,1.8,0.75,0.48,1.6,0.6,0,0.55
736,毘沙門天,2,1,0.6,1.6,0.6,0,0.7
737,寿老人,2,0.9,0.6,1.6,0.75,-1,0.7
738,福禄寿,2.2,1,0.6,1.9,0.8,-1,0.7
739,ゴージャス大使,1,1,0.6,1.8,0.85,-0.5,0.85
740,スーパーニャン,1,1,1.08,2.2,1.2,0,1
741,コマットマン,1,1,0.99,2.1,1,0,1
742,[Ｕロボ/アルティメット]ニャン,1,1,0.65,1.7,0.9,-2.5,0.85
743,デバミ,1,1,1,2.2,1.3,0,1.1
744,ウィスパー孔明,1,1.1,0.85,1.8,0.9,-2.5,1
745,黒鬼呂布,1.05,1.05,0.85,2.4,0.84,-0.2,1.05
746,ＵＳＡ豆腐,1,1,1,2.2,1,0,1
747,ガランドゥ,1,1,0.45,1.4,0.6,-0.5,0.65
748,さきのばし,1,1,1,2,1,0,1
749,しらんプリン,1,1,0.95,2.1,1.2,-0.5,1
750,テルテル坊主,1,1,0.9,2.1,1.1,-0.5,1
751,ひとりよがり,1,1,0.85,1.8,1,0,1
752,ミカエリ,1,1,0.85,2.1,1.1,-1,1
753,ヨドム,1,1,1,2,1.05,0,1
754,夜行,1,1,0.6,1.8,0.85,-1,0.75
755,ジャンクコシノ,1,1,0.7,1.7,0.9,-0.5,0.9
756,先代閻魔大王,1,1,0.5,1.5,0.58,-1,0.9
757,ぬらり神,1,0.9,0.42,1.25,0.52,-1.5,0.7
758,覚醒エンマ,1,1,0.6,1.5,0.66,-1.2,0.85
759,覚醒エンマ,1,1,0.6,1.5,0.66,-1.2,0.85
760,マジンカーメン,1,1,0.45,1.4,0.6,-1,0.6
761,ゴーキングデッド,1,1,0.65,1.6,0.8,-1,0.8
762,パンドラ,1,1,0.7,1.8,1,-2,0.85
763,リアクション大王,1,1,0.6,1.65,0.8,-1,0.75
764,ニャステト,1,1,1.08,2.2,1.2,0,1
765,ズラビス,1,1,0.99,2.1,1,0,1
766,ノストラダマス,1,1,0.42,1.45,0.6,-1.2,0.75
767,シヴァラク,1,1,0.55,1.95,0.75,-0.9,0.95
768,日ノ神,1,1,0.6,1.6,0.8,-0.5,0.85
769,覚醒日ノ神,1,1,0.55,1.6,0.64,-0.65,0.95
770,ニャンパチ先生,1,1,1.08,2.2,1.2,0,1
771,ジバゾンビニャン,1.2,1,1.08,2.2,1.2,0,1.2
772,ゾンビみみずく,1.2,1,1,2,1,0,1.2
773,じんめんゾンビ犬,1.2,1,1.1,2.1,1,0,1.2
774,ジミーゾンビ,1.2,1,0.9,1.6,0.65,0,1.2
775,なまゾンビはげ,1.2,1,1,1.6,1,0,1.2
776,難陀竜王,1,1,0.48,1.4,0.7,-2.5,0.75
777,ワルノリン,1,1,0.75,1.8,0.9,0,1
778,卵の君,1,1,0.57,1.6,0.78,-1,0.7
779,バケルトン,1,1,0.42,1.4,0.6,-1.5,0.7
780,まんまミーラ,1,1,0.55,1.5,0.7,-0.5,0.75
781,オタカラもどき,1,1,0.65,1.6,0.9,-0.5,0.9
782,ミーフー,1,1,0.75,1.7,0.9,-2.3,0.9
783,ふぶきちゃん,1,1,0.67,1.9,0.8,-1.5,0.85
784,ＫＪ,1,1,0.99,2.1,1,0,1
785,太陽神エンマ,1,1,0.6,1.5,0.66,-1.2,0.88
786,時空神エンマ,1,1,0.6,1.5,0.66,-1.2,0.88
787,暗黒神エンマ,1,1,0.6,1.5,0.66,-1.2,0.85
788,銅拍子,1,1,0.65,1.65,1,-1.5,1
789,仁王,1,1,0.5,1.45,0.66,-1.2,0.8
790,仁王２（仮）,1,1,0.5,1.45,0.66,-1.2,0.8
791,オンモラキ,1,1,1,2,1.1,0,1
792,海の神（仮）,1,1,0.5,1.8,0.56,0,0.9
793,山の神（仮）,1,1,0.48,1.5,0.66,-1.2,1
794,宙の神（仮）,1,1,0.6,1.7,0.9,-1.6,1
795,ちょうちんお化け,1,1,0.85,1.7,1.1,-1.6,1
796,牛頭,1,1,0.55,1.5,0.6,-1.2,0.95
797,馬頭,1,1,0.55,1.5,0.6,-1.25,0.95
798,マッサラニャン,1,1,1.2,2.2,1.2,0,1
799,赤鬼,1,1,1,1.8,0.45,0,1
800,青鬼,1,1,1,1.8,0.45,0,1
801,黒鬼,1,1,1,1.8,0.45,0,1
802,赤鬼,1,1,1,1.8,0.45,0,1
803,青鬼,1,1,1,1.8,0.45,0,1
804,黒鬼,1,1,1,1.8,0.45,0,1
805,ミツマタノヅチ,1,1,1,1.4,0.32,0.5,1
806,ミツマタノヅチ,1,1,1,1,0.32,0,1
807,ミツマタノヅチ,1,1,1,1,0.32,0,1
808,ミツマタノヅチ,1,1,1,1,0.32,0,1
809,地獄大山椒,1,1,1,1.4,0.32,0.5,1
810,地獄大山椒,1,1,1,1,0.32,0,1
811,地獄大山椒,1,1,1,1,0.32,0,1
812,地獄大山椒,1,1,1,1,0.32,0,1
813,のぼせトンマン,1,1,1,1.4,0.4,0,1
814,おのぼり黒トン,1,1,1,1.4,0.4,0,1
815,つられたろう丸,1,1,1,1.4,0.35,-0.5,1
816,暴れナマズの次郎,1,1,1,1,1,0,1
817,怒りナマズの一郎,1,1,1,1,1,0,1
818,悟りナマズの三郎,1,1,1,1,1,0,1
819,鉄砲ナマズの五郎,1,1,1,1,1,0,1
820,第八三途丸,1,1,1,1.4,0.35,-0.5,1
821,地獄ナマズの平次,1,1,1,1,1,0,1
822,紅蓮ナマズのお凛,1,1,1,1,1,0,1
823,冥土ナマズの佐吉,1,1,1,1,1,0,1
824,おぼろ入道,1,1,1,1.3,0.25,1.2,1
825,月影入道,1,1,1,1.3,0.25,1.2,1
826,亡霊武者,1,1,1,1.4,0.43,-2.5,1
827,国宝・影正,1,1,1,1.4,0.43,-2.5,1
828,鬼くももん,1,1,1,1,0.22,-2.5,1
829,やぶれかぶれ院長,1,1,1,1.8,0.5,0,1
830,やぶれかぶれ院長♥,1,1,1,1,1,0,1
831,キモナシ先生,1,1,1,1.7,0.5,0,1
832,0,1,1,1,1,1,0,1
833,イカカモネ議長,0.7,1,1,1,0.23,0,1
834,イカカモネ議長,0.8,1,1,1,0.2,1,1
835,ゲソヒゲール大臣,0.8,1,1,1,0.2,1,1
836,どんどろ,4,1,1,1,0.17,2,1
837,あおべえあかべえ,1,1,1,1.4,0.4,-1.5,1
838,つづらチュン太夫,1,1,1,1,0.25,1,1
839,デカニャン,1,1,0.3,1.6,0.3,0,1
840,ガシャどくろ,1,0.22,0.22,0.22,0.049,1,1
841,ガシャどくろＧ,0.8,0.22,0.22,0.22,0.049,1,1
842,ギヤマンどくろ,1,0.22,0.22,0.22,0.049,1,1
843,カラス,0,0,0,0,0,0,1
844,カラス,0,0,0,0,0,0,1
845,カラス,0,0,0,0,0,0,1
846,カラス,0,0,0,0,0,0,1
847,ガシャガシャ,0,0,0,0,0,0,1
848,トキヲ・ウバウネ,1,1,1,1.7,0.53,0,1
849,熟魔女ソラミ,1,1,1,1.7,0.53,0,1
850,キン,1,1,1,1.6,0.6,0,1
851,いくよね,1,1,1,1.6,0.6,0,1
852,ギン,1,1,1,1.6,0.6,0,1
853,くるよね,1,1,1,1.6,0.6,0,1
854,モテアマス,1,1,1,1.1,0.33,0,1
855,オモテナス,1,1,1,1.1,0.33,0,1
856,台風の目,1,0.4,0.4,0.6,0.12,0,1
857,ゲートキーパー,1,0.4,0.4,0.6,0.12,0,1
858,おびすさま,1,0.4,0.4,0.6,0.12,0,1
859,異次元と－ちゃん,1,0.4,0.4,0.6,0.12,0,1
860,大後悔船長,1,1,1,1.1,0.27,-1,1
861,泥船ヨーソ郎,1,1,1,1.1,0.27,-1,1
862,鳥,0,0,0,0,0,0,1
863,鳥,0,0,0,0,0,0,1
864,でるくいたたき,1,1,1,1,0.25,0,1
865,クサビ,0,0,0,0,0,0,1
866,スベテ・ウバウネ,1,1,1,1.2,0.4,-4,1
867,あやとりさま,3,1,1,0.9,0.1,2,1
868,ぶんぶく茶ヶ丸,1,1,1,2.2,0.57,0,1
869,枝魔目さま,1,1,1,1.4,0.27,-2,1
870,マイティードッグ,1,1,1,1,0.48,-0.8,1
871,レッドＪ,1,1,1,1,0.45,-0.5,1
872,日ノ神,1,1,1,1.6,0.4,0,1
873,暴走マッタナ氏,1,1,1,1.15,0.36,0,1
874,カブキロイド,0.65,1,1,1.3,0.23,0,1
875,ドウ,1,1,1,1.8,0.6,0,1
876,スーパー店長,1,1,1,2.2,0.65,-0.5,1
877,ゾンビ,1,1,1,1.2,1,0,1
878,肉,1,1,1,1.5,1,0,1
879,試食のおばちゃん,1,1,1,1.2,1,0,1
880,ガラクタリアン,1,1,1,1.5,0.3,0,1
881,プリズンブレイカー,1,1,1,1.5,0.46,-1,1
882,サム,1,1,1,1,0.6,0,1
883,ツノだるま,1.6,1,1,1.8,0.45,0,1
884,だるべえまーべえ,1.2,1,1,1.4,0.4,-1.5,1
885,つづらチュンだるま,1,1,1,1,0.25,1,1
886,モーソーもんもん,1,1,1,3,0.6,0,1
887,新幹線,1,1,1,1,0.6,0,1
888,魔・インジャネーノ,1,1,1,1.5,0.45,-1,1
889,インジャネーノ,1,1,1,1.8,0.65,-1,1
890,インジャネーノ,1,1,1,1.8,0.55,0,1
891,妖怪獣ガメゴス,1,1,1,1,0.3,0,1
892,ヨップくん,1,1,1,2.3,0.6,0,1
893,ヨップくん,1,1,1,1.5,0.6,0,1
894,ワルボ[Ｖ５/ヴイファイブ],1,1,1,2.3,0.6,0,1
895,[Ｙ/ワイ]シャーク,1,1,1,1,0.6,0,1
896,[Ｙ/ワイ]シャーク[Ａｉｒ/エアー],1.5,1,1,1,0.6,0,1
897,矢印看板,1,1,1,1,0.6,0,1
